time,rr
1714325750933009985,-70
1714325751494134281,84
1714325752055238225,18
1714325752616367608,103
1714325753177496987,87
1714325753738595848,-32
1714325754299725227,98
1714325754860854606,65
1714325755421953467,-21
1714325755983082850,54
1714325756544212229,72
1714325757105341608,68
1714325757666440469,79
1714325758227569848,-14
1714325758788668709,-2
1714325759349798092,70
1714325759910927471,148
1714325760472056851,136
1714325761033155711,39
1714325761594280007,51
1714325762155383951,101
1714325762716513334,-58
1714325763277642713,54
1714325763838741574,58
1714325764399870953,148
1714325764960995249,-115
1714325765522099193,47
1714325766083228576,16
1714325766644357955,1211
1714325767205456816,7
1714325767766586195,-16
1714325768327715574,-39
1714325768888844957,-7
1714325769449948905,82
1714325770011073197,89
1714325770572202576,-47
1714325771133301437,30
1714325771694430816,77
1714325772255560199,-4
1714325772816659060,91
1714325773377788439,65
1714325773938902561,0
1714325774500016679,103
1714325775061146058,-18
1714325775622275441,103
1714325776183379389,124
1714325776744503681,2
1714325777305617803,197
1714325777866731921,712
1714325778427861300,49
1714325778988960161,0
1714325779550089544,14
1714325780111188405,84
1714325780672302527,72
1714325781233416645,-65
1714325781794540941,58
1714325782355644885,84
1714325782916774268,70
1714325783477903647,-51
1714325784039002508,61
1714325784600131887,181
1714325785161256183,54
1714325785722360127,18
1714325786283489510,230
1714325786844588371,112
1714325787405717750,378
1714325787966816611,89
1714325788527940907,44
1714325789089044851,-84
1714325789650148803,-7
1714325790211273095,68
1714325790772387217,16
1714325791333501335,42
1714325791894630714,44
1714325792455729575,907
1714325793016858958,39
1714325793577988337,-70
1714325794139087198,-9
1714325794700206407,72
1714325795261315438,61
1714325795822444821,37
1714325796383543682,18
1714325796944673061,89
1714325797505771922,84
1714325798066901301,-47
1714325798628025597,72
1714325799189129541,37
1714325799750258924,42
1714325800311367959,51
1714325800872487164,185
1714325801433616543,63
1714325801994740839,21
1714325802555844783,54
1714325803116974166,49
1714325803678083201,-4
1714325804239202406,37
1714325804800321615,70
1714325805361430646,1185
1714325805922560025,72
1714325806483663977,89
1714325807044788269,82
1714325807605917648,39
1714325808167016509,-30
1714325808728145888,68
1714325809289275267,115
1714325809850404650,82
1714325810411503511,-11
1714325810972632890,23
1714325811533752099,42
1714325812094861130,230
1714325812655990513,72
1714325813217089374,-35
1714325813778218753,0
1714325814339332875,68
1714325814900446993,-44
1714325815461576372,1342
1714325816022675233,77
1714325816583804616,-65
1714325817144933995,61
1714325817706032856,30
1714325818267162235,-30
1714325818828286531,89
1714325819389390475,2
1714325819950514772,218
1714325820511618719,75
1714325821072748098,-18
1714325821633877477,-110
1714325822195006856,82
1714325822756136239,209
1714325823317240187,903
1714325823878364479,51
1714325824439493858,-37
1714325825000613067,103
1714325825561722098,44
1714325826122851477,0
1714325826683955429,110
1714325827245089895,42
1714325827806209100,32
1714325828367338479,667
1714325828928467858,-9
1714325829489597241,96
1714325830050701189,70
1714325830611835655,23
1714325831172954860,23
1714325831734084239,84
1714325832295213618,-54
1714325832856343001,376
1714325833417446949,25
1714325833978571241,119
1714325834539700620,84
1714325835100819829,-14
1714325835661928860,32
1714325836223058239,79
1714325836784187622,-47
1714325837345317001,103
1714325837906415862,65
1714325838467545241,127
1714325839028674620,68
1714325839589804003,-14
1714325840150907951,32
1714325840712032243,75
1714325841273131104,91
1714325841834260483,1025
1714325842395359344,103
1714325842956488727,30
1714325843517587588,143
1714325844078696623,49
1714325844639815828,28
1714325845200945207,-21
1714325845762044068,0
1714325846323173447,178
1714325846884277399,101
1714325847445401691,-7
1714325848006515813,-63
1714325848567629931,47
1714325849128728792,-68
1714325849689858171,119
1714325850250987554,75
1714325850812096589,225
1714325851373215794,94
1714325851934345173,-7
1714325852495474552,206
1714325853056603931,54
1714325853617733314,-68
1714325854178862693,44
1714325854739992072,56
1714325855301121451,122
1714325855862245747,122
1714325856423349691,44
1714325856984479074,18
1714325857545608453,89
1714325858106737832,-79
1714325858667867211,-84
1714325859228996590,72
1714325859790125973,143
1714325860351229921,96
1714325860912354213,-30
1714325861473483592,-265
1714325862034602801,65
1714325862595711832,112
1714325863156841211,82
